source_document_number,recognized_at,explanation
"BV-CR009414",2023-12-31 00:00:00,'Internal orders to include'
"BV-CR009413",2023-12-31 00:00:00,'Internal orders to include'
"LLC-CR018398",2023-12-31 00:00:00,'Internal orders to include'
