country_id,name,is_in_european_union
249,Zambia,FALSE
250,Zimbabwe,FALSE
2,Aland Islands,FALSE
186,Saint Barthélemy,FALSE
29,"Bonaire, Sint Eustatius and Saba",FALSE
58,Curaçao,FALSE
190,Saint Martin (French part),FALSE
211,South Sudan,FALSE
202,Sint Maarten (Dutch part),FALSE
238,United States Minor Outlying Islands,FALSE
242,Venezuela,FALSE
228,Tunisia,FALSE
