month,kpi,market,technology_name,value
2022-01-01,number_of_orders,NULL,CNC,980
2022-02-01,number_of_orders,NULL,CNC,930
2022-03-01,number_of_orders,NULL,CNC,969
2022-04-01,number_of_orders,NULL,CNC,988
2022-05-01,number_of_orders,NULL,CNC,1081
2022-06-01,number_of_orders,NULL,CNC,1134
2022-07-01,number_of_orders,NULL,CNC,1095
2022-08-01,number_of_orders,NULL,CNC,1056
2022-09-01,number_of_orders,NULL,CNC,1070
2022-10-01,number_of_orders,NULL,CNC,1120
2022-11-01,number_of_orders,NULL,CNC,1135
2022-12-01,number_of_orders,NULL,CNC,1097
2022-01-01,number_of_orders,NULL,3DP,1391
2022-02-01,number_of_orders,NULL,3DP,1328
2022-03-01,number_of_orders,NULL,3DP,1390
2022-04-01,number_of_orders,NULL,3DP,1425
2022-05-01,number_of_orders,NULL,3DP,1566
2022-06-01,number_of_orders,NULL,3DP,1651
2022-07-01,number_of_orders,NULL,3DP,1600
2022-08-01,number_of_orders,NULL,3DP,1549
2022-09-01,number_of_orders,NULL,3DP,1575
2022-10-01,number_of_orders,NULL,3DP,1655
2022-11-01,number_of_orders,NULL,3DP,1681
2022-12-01,number_of_orders,NULL,3DP,1508
2022-01-01,number_of_orders,NULL,IM,21
2022-02-01,number_of_orders,NULL,IM,21
2022-03-01,number_of_orders,NULL,IM,24
2022-04-01,number_of_orders,NULL,IM,25
2022-05-01,number_of_orders,NULL,IM,29
2022-06-01,number_of_orders,NULL,IM,32
2022-07-01,number_of_orders,NULL,IM,32
2022-08-01,number_of_orders,NULL,IM,33
2022-09-01,number_of_orders,NULL,IM,34
2022-10-01,number_of_orders,NULL,IM,38
2022-11-01,number_of_orders,NULL,IM,40
2022-12-01,number_of_orders,NULL,IM,36
2022-01-01,number_of_orders,NULL,SM,100
2022-02-01,number_of_orders,NULL,SM,96
2022-03-01,number_of_orders,NULL,SM,100
2022-04-01,number_of_orders,NULL,SM,103
2022-05-01,number_of_orders,NULL,SM,114
2022-06-01,number_of_orders,NULL,SM,120
2022-07-01,number_of_orders,NULL,SM,117
2022-08-01,number_of_orders,NULL,SM,113
2022-09-01,number_of_orders,NULL,SM,115
2022-10-01,number_of_orders,NULL,SM,121
2022-11-01,number_of_orders,NULL,SM,123
2022-12-01,number_of_orders,NULL,SM,133
2022-01-01,number_of_orders,NULL,NULL,2492
2022-02-01,number_of_orders,NULL,NULL,2375
2022-03-01,number_of_orders,NULL,NULL,2483
2022-04-01,number_of_orders,NULL,NULL,2542
2022-05-01,number_of_orders,NULL,NULL,2790
2022-06-01,number_of_orders,NULL,NULL,2937
2022-07-01,number_of_orders,NULL,NULL,2844
2022-08-01,number_of_orders,NULL,NULL,2751
2022-09-01,number_of_orders,NULL,NULL,2794
2022-10-01,number_of_orders,NULL,NULL,2934
2022-11-01,number_of_orders,NULL,NULL,2978
2022-12-01,number_of_orders,NULL,NULL,2774
2022-01-01,closed_sales,NULL,CNC,2438146
2022-02-01,closed_sales,NULL,CNC,2384415
2022-03-01,closed_sales,NULL,CNC,2557479
2022-04-01,closed_sales,NULL,CNC,2684450
2022-05-01,closed_sales,NULL,CNC,3018778
2022-06-01,closed_sales,NULL,CNC,3255200
2022-07-01,closed_sales,NULL,CNC,3226312
2022-08-01,closed_sales,NULL,CNC,3193372
2022-09-01,closed_sales,NULL,CNC,3316203
2022-10-01,closed_sales,NULL,CNC,3559640
2022-11-01,closed_sales,NULL,CNC,3691761
2022-12-01,closed_sales,NULL,CNC,3575629
2022-01-01,closed_sales,NULL,3DP,744771
2022-02-01,closed_sales,NULL,3DP,726759
2022-03-01,closed_sales,NULL,3DP,777788
2022-04-01,closed_sales,NULL,3DP,814591
2022-05-01,closed_sales,NULL,3DP,913999
2022-06-01,closed_sales,NULL,3DP,983370
2022-07-01,closed_sales,NULL,3DP,972445
2022-08-01,closed_sales,NULL,3DP,960334
2022-09-01,closed_sales,NULL,3DP,994999
2022-10-01,closed_sales,NULL,3DP,1065592
2022-11-01,closed_sales,NULL,3DP,1102596
2022-12-01,closed_sales,NULL,3DP,1007219
2022-01-01,closed_sales,NULL,IM,141436
2022-02-01,closed_sales,NULL,IM,146947
2022-03-01,closed_sales,NULL,IM,166895
2022-04-01,closed_sales,NULL,IM,184956
2022-05-01,closed_sales,NULL,IM,219018
2022-06-01,closed_sales,NULL,IM,248098
2022-07-01,closed_sales,NULL,IM,257756
2022-08-01,closed_sales,NULL,IM,266900
2022-09-01,closed_sales,NULL,IM,289433
2022-10-01,closed_sales,NULL,IM,323889
2022-11-01,closed_sales,NULL,IM,349654
2022-12-01,closed_sales,NULL,IM,251805
2022-01-01,closed_sales,NULL,SM,139379
2022-02-01,closed_sales,NULL,SM,134591
2022-03-01,closed_sales,NULL,SM,142513
2022-04-01,closed_sales,NULL,SM,147643
2022-05-01,closed_sales,NULL,SM,163838
2022-06-01,closed_sales,NULL,SM,174296
2022-07-01,closed_sales,NULL,SM,170390
2022-08-01,closed_sales,NULL,SM,166307
2022-09-01,closed_sales,NULL,SM,170264
2022-10-01,closed_sales,NULL,SM,180135
2022-11-01,closed_sales,NULL,SM,184086
2022-12-01,closed_sales,NULL,SM,201444
2022-01-01,closed_sales,NULL,NULL,3463733
2022-02-01,closed_sales,NULL,NULL,3392711
2022-03-01,closed_sales,NULL,NULL,3644675
2022-04-01,closed_sales,NULL,NULL,3831640
2022-05-01,closed_sales,NULL,NULL,4315632
2022-06-01,closed_sales,NULL,NULL,4660964
2022-07-01,closed_sales,NULL,NULL,4626903
2022-08-01,closed_sales,NULL,NULL,4586914
2022-09-01,closed_sales,NULL,NULL,4770899
2022-10-01,closed_sales,NULL,NULL,5129257
2022-11-01,closed_sales,NULL,NULL,5328098
2022-12-01,closed_sales,NULL,NULL,5036097
2022-01-01,average_order_value,NULL,CNC,2487
2022-02-01,average_order_value,NULL,CNC,2564
2022-03-01,average_order_value,NULL,CNC,2641
2022-04-01,average_order_value,NULL,CNC,2717
2022-05-01,average_order_value,NULL,CNC,2794
2022-06-01,average_order_value,NULL,CNC,2871
2022-07-01,average_order_value,NULL,CNC,2947
2022-08-01,average_order_value,NULL,CNC,3024
2022-09-01,average_order_value,NULL,CNC,3101
2022-10-01,average_order_value,NULL,CNC,3177
2022-11-01,average_order_value,NULL,CNC,3254
2022-12-01,average_order_value,NULL,CNC,3260
2022-01-01,average_order_value,NULL,3DP,535
2022-02-01,average_order_value,NULL,3DP,547
2022-03-01,average_order_value,NULL,3DP,559
2022-04-01,average_order_value,NULL,3DP,572
2022-05-01,average_order_value,NULL,3DP,584
2022-06-01,average_order_value,NULL,3DP,596
2022-07-01,average_order_value,NULL,3DP,608
2022-08-01,average_order_value,NULL,3DP,620
2022-09-01,average_order_value,NULL,3DP,632
2022-10-01,average_order_value,NULL,3DP,644
2022-11-01,average_order_value,NULL,3DP,656
2022-12-01,average_order_value,NULL,3DP,668
2022-01-01,average_order_value,NULL,IM,6636
2022-02-01,average_order_value,NULL,IM,6857
2022-03-01,average_order_value,NULL,IM,7078
2022-04-01,average_order_value,NULL,IM,7300
2022-05-01,average_order_value,NULL,IM,7521
2022-06-01,average_order_value,NULL,IM,7742
2022-07-01,average_order_value,NULL,IM,7963
2022-08-01,average_order_value,NULL,IM,8184
2022-09-01,average_order_value,NULL,IM,8405
2022-10-01,average_order_value,NULL,IM,8626
2022-11-01,average_order_value,NULL,IM,8847
2022-12-01,average_order_value,NULL,IM,6927
2022-01-01,average_order_value,NULL,SM,1399
2022-02-01,average_order_value,NULL,SM,1409
2022-03-01,average_order_value,NULL,SM,1419
2022-04-01,average_order_value,NULL,SM,1429
2022-05-01,average_order_value,NULL,SM,1440
2022-06-01,average_order_value,NULL,SM,1450
2022-07-01,average_order_value,NULL,SM,1460
2022-08-01,average_order_value,NULL,SM,1470
2022-09-01,average_order_value,NULL,SM,1480
2022-10-01,average_order_value,NULL,SM,1490
2022-11-01,average_order_value,NULL,SM,1500
2022-12-01,average_order_value,NULL,SM,1511
2022-01-01,average_order_value,NULL,NULL,1390
2022-02-01,average_order_value,NULL,NULL,1429
2022-03-01,average_order_value,NULL,NULL,1468
2022-04-01,average_order_value,NULL,NULL,1507
2022-05-01,average_order_value,NULL,NULL,1547
2022-06-01,average_order_value,NULL,NULL,1587
2022-07-01,average_order_value,NULL,NULL,1627
2022-08-01,average_order_value,NULL,NULL,1667
2022-09-01,average_order_value,NULL,NULL,1708
2022-10-01,average_order_value,NULL,NULL,1748
2022-11-01,average_order_value,NULL,NULL,1789
2022-12-01,average_order_value,NULL,NULL,1815
2022-01-01,closed_sales,US/CA,NULL,1828327
2022-02-01,closed_sales,US/CA,NULL,1782249
2022-03-01,closed_sales,US/CA,NULL,1905383
2022-04-01,closed_sales,US/CA,NULL,1993425
2022-05-01,closed_sales,US/CA,NULL,2234298
2022-06-01,closed_sales,US/CA,NULL,2401283
2022-07-01,closed_sales,US/CA,NULL,2372021
2022-08-01,closed_sales,US/CA,NULL,2339908
2022-09-01,closed_sales,US/CA,NULL,2421685
2022-10-01,closed_sales,US/CA,NULL,2590600
2022-11-01,closed_sales,US/CA,NULL,2677538
2022-12-01,closed_sales,US/CA,NULL,2518048
2022-01-01,closed_sales,EU/ROW,NULL,1635405
2022-02-01,closed_sales,EU/ROW,NULL,1610462
2022-03-01,closed_sales,EU/ROW,NULL,1739292
2022-04-01,closed_sales,EU/ROW,NULL,1838215
2022-05-01,closed_sales,EU/ROW,NULL,2081334
2022-06-01,closed_sales,EU/ROW,NULL,2259681
2022-07-01,closed_sales,EU/ROW,NULL,2254881
2022-08-01,closed_sales,EU/ROW,NULL,2247006
2022-09-01,closed_sales,EU/ROW,NULL,2349214
2022-10-01,closed_sales,EU/ROW,NULL,2538657
2022-11-01,closed_sales,EU/ROW,NULL,2650560
2022-12-01,closed_sales,EU/ROW,NULL,2518048
2022-01-01,first_month_closed_sales,NULL,NULL,357916
2022-02-01,first_month_closed_sales,NULL,NULL,364034
2022-03-01,first_month_closed_sales,NULL,NULL,370190
2022-04-01,first_month_closed_sales,NULL,NULL,459044
2022-05-01,first_month_closed_sales,NULL,NULL,466678
2022-06-01,first_month_closed_sales,NULL,NULL,474360
2022-07-01,first_month_closed_sales,NULL,NULL,506357
2022-08-01,first_month_closed_sales,NULL,NULL,514556
2022-09-01,first_month_closed_sales,NULL,NULL,522805
2022-10-01,first_month_closed_sales,NULL,NULL,470867
2022-11-01,first_month_closed_sales,NULL,NULL,478295
2022-12-01,first_month_closed_sales,NULL,NULL,485767
2022-01-01,closed_sales_from_returning_customers,NULL,NULL,3105817
2022-02-01,closed_sales_from_returning_customers,NULL,NULL,3028677
2022-03-01,closed_sales_from_returning_customers,NULL,NULL,3274485
2022-04-01,closed_sales_from_returning_customers,NULL,NULL,3372597
2022-05-01,closed_sales_from_returning_customers,NULL,NULL,3848954
2022-06-01,closed_sales_from_returning_customers,NULL,NULL,4186603
2022-07-01,closed_sales_from_returning_customers,NULL,NULL,4120546
2022-08-01,closed_sales_from_returning_customers,NULL,NULL,4072358
2022-09-01,closed_sales_from_returning_customers,NULL,NULL,4248094
2022-10-01,closed_sales_from_returning_customers,NULL,NULL,4658390
2022-11-01,closed_sales_from_returning_customers,NULL,NULL,4849803
2022-12-01,closed_sales_from_returning_customers,NULL,NULL,4550329
2022-01-01,15K_closed_orders,NULL,NULL,24
2022-02-01,15K_closed_orders,NULL,NULL,26
2022-03-01,15K_closed_orders,NULL,NULL,28
2022-04-01,15K_closed_orders,NULL,NULL,30
2022-05-01,15K_closed_orders,NULL,NULL,32
2022-06-01,15K_closed_orders,NULL,NULL,34
2022-07-01,15K_closed_orders,NULL,NULL,36
2022-08-01,15K_closed_orders,NULL,NULL,38
2022-09-01,15K_closed_orders,NULL,NULL,40
2022-10-01,15K_closed_orders,NULL,NULL,42
2022-11-01,15K_closed_orders,NULL,NULL,44
2022-12-01,15K_closed_orders,NULL,NULL,46
2022-01-01,15K_average_order_value,NULL,NULL,33462
2022-02-01,15K_average_order_value,NULL,NULL,34140
2022-03-01,15K_average_order_value,NULL,NULL,34818
2022-04-01,15K_average_order_value,NULL,NULL,35496
2022-05-01,15K_average_order_value,NULL,NULL,36174
2022-06-01,15K_average_order_value,NULL,NULL,36852
2022-07-01,15K_average_order_value,NULL,NULL,37530
2022-08-01,15K_average_order_value,NULL,NULL,38208
2022-09-01,15K_average_order_value,NULL,NULL,38886
2022-10-01,15K_average_order_value,NULL,NULL,39564
2022-11-01,15K_average_order_value,NULL,NULL,40242
2022-12-01,15K_average_order_value,NULL,NULL,40920
2022-01-01,company_MQL,NULL,NULL,1468
2022-02-01,company_MQL,NULL,NULL,1468
2022-03-01,company_MQL,NULL,NULL,1468
2022-04-01,company_MQL,NULL,NULL,1798
2022-05-01,company_MQL,NULL,NULL,1798
2022-06-01,company_MQL,NULL,NULL,1798
2022-07-01,company_MQL,NULL,NULL,1897
2022-08-01,company_MQL,NULL,NULL,1897
2022-09-01,company_MQL,NULL,NULL,1897
2022-10-01,company_MQL,NULL,NULL,1688
2022-11-01,company_MQL,NULL,NULL,1688
2022-12-01,company_MQL,NULL,NULL,1688
2022-01-01,new_companies,NULL,NULL,223
2022-02-01,new_companies,NULL,NULL,227
2022-03-01,new_companies,NULL,NULL,230
2022-04-01,new_companies,NULL,NULL,286
2022-05-01,new_companies,NULL,NULL,290
2022-06-01,new_companies,NULL,NULL,293
2022-07-01,new_companies,NULL,NULL,314
2022-08-01,new_companies,NULL,NULL,318
2022-09-01,new_companies,NULL,NULL,322
2022-10-01,new_companies,NULL,NULL,290
2022-11-01,new_companies,NULL,NULL,294
2022-12-01,new_companies,NULL,NULL,298
2022-01-01,cac,NULL,NULL,729
2022-02-01,cac,NULL,NULL,718
2022-03-01,cac,NULL,NULL,721
2022-04-01,cac,NULL,NULL,650
2022-05-01,cac,NULL,NULL,641
2022-06-01,cac,NULL,NULL,633
2022-07-01,cac,NULL,NULL,617
2022-08-01,cac,NULL,NULL,609
2022-09-01,cac,NULL,NULL,601
2022-10-01,cac,NULL,NULL,623
2022-11-01,cac,NULL,NULL,616
2022-12-01,cac,NULL,NULL,608
2022-01-01,sourced_sales,NULL,NULL,3297473
2022-02-01,sourced_sales,NULL,NULL,3233254
2022-03-01,sourced_sales,NULL,NULL,3477020
